[24-Jan-2022 14:51:32 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 14:51:32 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:08:51 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:08:51 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:08:54 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:08:54 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:13:46 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:13:46 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:14:02 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:14:02 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:14:58 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:14:58 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:15:02 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:15:02 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:19:57 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:19:57 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:19:59 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:19:59 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:20:06 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:20:06 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:20:39 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:20:39 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:20:45 Africa/Khartoum] PHP Notice:  Undefined variable: stocks in /var/www/html/chamu/modules/stock/stock-action.php on line 331
[24-Jan-2022 15:20:45 Africa/Khartoum] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/chamu/modules/stock/stock-action.php on line 331
